"Woonplaatsen";"Gemeente/Naam  (Naam)";"Provincie/Naam (Naam)";"Landsdeel/Naam (Naam)"
"Kampen";"Kampen                             ";"Overijssel               ";"Oost-Nederland           "
"Kamperland";"Noord-Beveland                     ";"Zeeland                  ";"West-Nederland           "
"Kamperveen";"Kampen                             ";"Overijssel               ";"Oost-Nederland           "
"Kantens";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Kapel Avezaath";"Tiel                               ";"Gelderland               ";"Oost-Nederland           "
"Kapel-Avezaath";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"Kapelle";"Kapelle                            ";"Zeeland                  ";"West-Nederland           "
"Kapellebrug";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Katlijk";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Kats";"Noord-Beveland                     ";"Zeeland                  ";"West-Nederland           "
"Kattendijke";"Goes                               ";"Zeeland                  ";"West-Nederland           "
"Katwijk";"Katwijk                            ";"Zuid-Holland             ";"West-Nederland           "
"Katwijk NB";"Cuijk                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Katwoude";"Waterland                          ";"Noord-Holland            ";"West-Nederland           "
"Kedichem";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Keent";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Keijenborg";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Kekerdom";"Berg en Dal                        ";"Gelderland               ";"Oost-Nederland           "
"Kelpen-Oler";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Kerk Avezaath";"Tiel                               ";"Gelderland               ";"Oost-Nederland           "
"Kerk-Avezaath";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"Kerkdriel";"Maasdriel                          ";"Gelderland               ";"Oost-Nederland           "
"Kerkenveld";"De Wolden                          ";"Drenthe                  ";"Noord-Nederland          "
"Kerkrade";"Kerkrade                           ";"Limburg                  ";"Zuid-Nederland           "
"Kerkwerve";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Kerkwijk";"Zaltbommel                         ";"Gelderland               ";"Oost-Nederland           "
"Kessel";"Peel en Maas                       ";"Limburg                  ";"Zuid-Nederland           "
"Kesteren";"Neder-Betuwe                       ";"Gelderland               ";"Oost-Nederland           "
"De Kiel";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Kiel-Windeweer";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Kilder";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"Kimswerd";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Kinderdijk";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Kinnum";"Terschelling                       ";"Friesland                ";"Noord-Nederland          "
"Klaaswaal";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Klarenbeek";"Voorst                             ";"Gelderland               ";"Oost-Nederland           "
"Klarenbeek";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Klazienaveen";"Emmen                              ";"Drenthe                  ";"Noord-Nederland          "
"Klazienaveen-Noord";"Emmen                              ";"Drenthe                  ";"Noord-Nederland          "
"Klein Zundert";"Zundert                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Klijndijk";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Klimmen";"Voerendaal                         ";"Limburg                  ";"Zuid-Nederland           "
"Kloetinge";"Kapelle                            ";"Zeeland                  ";"West-Nederland           "
"Kloetinge";"Goes                               ";"Zeeland                  ";"West-Nederland           "
"De Klomp";"Ede                                ";"Gelderland               ";"Oost-Nederland           "
"Klooster Lidlum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Kloosterburen";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Kloosterhaar";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Kloosterhaar";"Twenterand                         ";"Overijssel               ";"Oost-Nederland           "
"Kloosterzande";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Klundert";"Moerdijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Knegsel";"Eersel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"De Knipe";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Koarnjum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Kockengen";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Koedijk";"Langedijk                          ";"Noord-Holland            ";"West-Nederland           "
"Koedijk";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Koekange";"De Wolden                          ";"Drenthe                  ";"Noord-Nederland          "
"Koewacht";"Terneuzen                          ";"Zeeland                  ";"West-Nederland           "
"Kolderwolde";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Kolham";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Kolhorn";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Kollum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Kollumerpomp";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Kollumerzwaag";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Kommerzijl";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Koningsbosch";"Echt-Susteren                      ";"Limburg                  ";"Zuid-Nederland           "
"Koningslust";"Peel en Maas                       ";"Limburg                  ";"Zuid-Nederland           "
"De Koog";"Texel                              ";"Noord-Holland            ";"West-Nederland           "
"Koog aan de Zaan";"Zaanstad                           ";"Noord-Holland            ";"West-Nederland           "
"Kootstertille";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"Kootwijk";"Barneveld                          ";"Gelderland               ";"Oost-Nederland           "
"Kootwijkerbroek";"Barneveld                          ";"Gelderland               ";"Oost-Nederland           "
"Kornhorn";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Kornwerderzand";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Kortehemmen";"Smallingerland                     ";"Friesland                ";"Noord-Nederland          "
"Kortenhoef";"Wijdemeren                         ";"Noord-Holland            ";"West-Nederland           "
"Kortgene";"Noord-Beveland                     ";"Zeeland                  ";"West-Nederland           "
"Koudekerk aan den Rijn";"Alphen aan den Rijn                ";"Zuid-Holland             ";"West-Nederland           "
