,Woonplaatsen,Gemeente,Provincie,Landsdeel
2196,Werkendam,Altena,Noord-Brabant,Zuid-Nederland
2197,Werkhoven,Bunnik,Utrecht,West-Nederland
2198,Wernhout,Zundert,Noord-Brabant,Zuid-Nederland
2199,Wervershoof,Medemblik,Noord-Holland,West-Nederland
2200,Wesepe,Olst-Wijhe,Overijssel,Oost-Nederland
2201,Wessem,Maasgouw,Limburg,Zuid-Nederland
2202,Westbeemster,Beemster,Noord-Holland,West-Nederland
2203,Westbroek,DeBilt,Utrecht,West-Nederland
2204,Westdorp,Borger-Odoorn,Drenthe,Noord-Nederland
2205,Westdorpe,Terneuzen,Zeeland,West-Nederland
2206,Westendorp,OudeIJsselstreek,Gelderland,Oost-Nederland
2207,Westerbeek,SintAnthonis,Noord-Brabant,Zuid-Nederland
2208,Westerbork,Midden-Drenthe,Drenthe,Noord-Nederland
2209,Westerbroek,Midden-Groningen,Groningen,Noord-Nederland
2210,De Westereen,Dantumadiel,Friesland,Noord-Nederland
2211,Westeremden,Loppersum,Groningen,Noord-Nederland
2212,Westergeest,Noardeast-Fryslân,Friesland,Noord-Nederland
2213,Westerhaar-Vriezenveensewijk,Twenterand,Overijssel,Oost-Nederland
2214,Westerhoven,Bergeijk,Noord-Brabant,Zuid-Nederland
2215,Westerland,HollandsKroon,Noord-Holland,West-Nederland
2216,Westerlee,Oldambt,Groningen,Noord-Nederland
2217,Westernieland,HetHogeland,Groningen,Noord-Nederland
2218,Westervelde,Noordenveld,Drenthe,Noord-Nederland
2219,Westervoort,Westervoort,Gelderland,Oost-Nederland
2220,Westerwijtwerd,Loppersum,Groningen,Noord-Nederland
2221,Bron: CBS,,,
2222,Sint Philipsland,Tholen,Zeeland,West-Nederland
2223,St. Willebrord,Rucphen,Noord-Brabant,Zuid-Nederland
2224,Sint-Annaland,Tholen,Zeeland,West-Nederland
2225,St.-Annaparochie,Waadhoeke,Friesland,Noord-Nederland
2226,St.-Jacobiparochie,Waadhoeke,Friesland,Noord-Nederland
2227,Sintjohannesga,DeFryskeMarren,Friesland,Noord-Nederland
2228,Sint-Maartensdijk,Tholen,Zeeland,West-Nederland
2229,Sint-Michielsgestel,Sint-Michielsgestel,Noord-Brabant,Zuid-Nederland
2230,Sint-Oedenrode,Meierijstad,Noord-Brabant,Zuid-Nederland
2231,Sirjansland,Schouwen-Duiveland,Zeeland,West-Nederland
2232,Sittard,Sittard-Geleen,Limburg,Zuid-Nederland
2233,Skingen,Waadhoeke,Friesland,Noord-Nederland
2234,Slagharen,Hardenberg,Overijssel,Oost-Nederland
2235,Slappeterp,Waadhoeke,Friesland,Noord-Nederland
2236,Sleen,Coevorden,Drenthe,Noord-Nederland
2237,Sleeuwijk,Altena,Noord-Brabant,Zuid-Nederland
2238,Slenaken,Gulpen-Wittem,Limburg,Zuid-Nederland
2239,Sliedrecht,Sliedrecht,Zuid-Holland,West-Nederland
2240,Slijkenburg,Weststellingwerf,Friesland,Noord-Nederland
2241,Slijk-Ewijk,Overbetuwe,Gelderland,Oost-Nederland
2242,Slochteren,Midden-Groningen,Groningen,Noord-Nederland
2243,Slootdorp,HollandsKroon,Noord-Holland,West-Nederland
2244,Sloten,DeFryskeMarren,Friesland,Noord-Nederland
2245,Sluis,Sluis,Zeeland,West-Nederland
2246,Sluiskil,Terneuzen,Zeeland,West-Nederland
2247,Smakt,Venray,Limburg,Zuid-Nederland
2248,Smalle Ee,Smallingerland,Friesland,Noord-Nederland
2249,Smallebrugge,Súdwest-Fryslân,Friesland,Noord-Nederland
2250,Smilde,Midden-Drenthe,Drenthe,Noord-Nederland
2251,Snakkerburen,Leeuwarden,Friesland,Noord-Nederland
2252,Sneek,Súdwest-Fryslân,Friesland,Noord-Nederland
2253,Snelrewaard,Oudewater,Utrecht,West-Nederland
2254,Snikzwaag,DeFryskeMarren,Friesland,Noord-Nederland
2255,Soerendonk,Cranendonck,Noord-Brabant,Zuid-Nederland
2256,Soest,Soest,Utrecht,West-Nederland
2257,Soesterberg,Soest,Utrecht,West-Nederland
2258,Someren,Someren,Noord-Brabant,Zuid-Nederland
2259,Sommelsdijk,Goeree-Overflakkee,Zuid-Holland,West-Nederland
2260,Son en Breugel,SonenBreugel,Noord-Brabant,Zuid-Nederland
2261,Sondel,DeFryskeMarren,Friesland,Noord-Nederland
2262,Sonnega,Weststellingwerf,Friesland,Noord-Nederland
2263,Spaarndam,Haarlemmermeer,Noord-Holland,West-Nederland
2264,Spaarndam gem. Haarlem,Haarlem,Noord-Holland,West-Nederland
2265,Spanbroek,Opmeer,Noord-Holland,West-Nederland
2266,Spanga,Weststellingwerf,Friesland,Noord-Nederland
2267,Spankeren,Rheden,Gelderland,Oost-Nederland
2268,Spannum,Waadhoeke,Friesland,Noord-Nederland
2269,Spaubeek,Beek,Limburg,Zuid-Nederland
2270,Spier,Midden-Drenthe,Drenthe,Noord-Nederland
2271,Spier,Westerveld,Drenthe,Noord-Nederland
2272,Spierdijk,Koggenland,Noord-Holland,West-Nederland
2273,Spijk,Zevenaar,Gelderland,Oost-Nederland
2274,Spijk,Delfzijl,Groningen,Noord-Nederland
2275,Spijk,WestBetuwe,Gelderland,Oost-Nederland
2276,Spijkenisse,Nissewaard,Zuid-Holland,West-Nederland
2277,Spijkerboor,AaenHunze,Drenthe,Noord-Nederland
2278,Spijkerboor,Wormerland,Noord-Holland,West-Nederland
2279,Sprang-Capelle,Waalwijk,Noord-Brabant,Zuid-Nederland
2280,Sprundel,Rucphen,Noord-Brabant,Zuid-Nederland
2281,Spui,Terneuzen,Zeeland,West-Nederland
2282,Stad aan 't Haringvliet,Goeree-Overflakkee,Zuid-Holland,West-Nederland
2283,Stadskanaal,Stadskanaal,Groningen,Noord-Nederland
2284,Stampersgat,Halderberge,Noord-Brabant,Zuid-Nederland
2285,Standdaarbuiten,Moerdijk,Noord-Brabant,Zuid-Nederland
2286,Staphorst,Staphorst,Overijssel,Oost-Nederland
2287,Starnmeer,Alkmaar,Noord-Holland,West-Nederland
2288,Startenhuizen,Loppersum,Groningen,Noord-Nederland
2289,Startenhuizen,HetHogeland,Groningen,Noord-Nederland
2290,Stavenisse,Tholen,Zeeland,West-Nederland
2291,Stavoren,Súdwest-Fryslân,Friesland,Noord-Nederland
2292,Stedum,Loppersum,Groningen,Noord-Nederland
2293,De Steeg,Rheden,Gelderland,Oost-Nederland
2294,Steenbergen,Steenbergen,Noord-Brabant,Zuid-Nederland
2295,Steenbergen,Noordenveld,Drenthe,Noord-Nederland
2296,Steendam,Midden-Groningen,Groningen,Noord-Nederland
2297,Steenderen,Bronckhorst,Gelderland,Oost-Nederland
2298,Steenenkamer,Voorst,Gelderland,Oost-Nederland
2299,Steensel,Eersel,Noord-Brabant,Zuid-Nederland
2300,Steenwijk,Steenwijkerland,Overijssel,Oost-Nederland
2301,Steenwijkerwold,Steenwijkerland,Overijssel,Oost-Nederland
2302,Stegeren,Ommen,Overijssel,Oost-Nederland
2303,Steggerda,Weststellingwerf,Friesland,Noord-Nederland
2304,Stein,Stein,Limburg,Zuid-Nederland
2305,Stellendam,Goeree-Overflakkee,Zuid-Holland,West-Nederland
2306,Sterksel,Heeze-Leende,Noord-Brabant,Zuid-Nederland
2307,Stevensbeek,SintAnthonis,Noord-Brabant,Zuid-Nederland
2308,Stevensweert,Maasgouw,Limburg,Zuid-Nederland
2309,Steyl,Venlo,Limburg,Zuid-Nederland
2310,Stieltjeskanaal,Coevorden,Drenthe,Noord-Nederland
2311,Stiens,Leeuwarden,Friesland,Noord-Nederland
2312,Stitswerd,HetHogeland,Groningen,Noord-Nederland
2313,Stokkum,Montferland,Gelderland,Oost-Nederland
2314,Stolwijk,Krimpenerwaard,Zuid-Holland,West-Nederland
2315,Stompetoren,Alkmaar,Noord-Holland,West-Nederland
2316,Stoutenburg,Leusden,Utrecht,West-Nederland
2317,Stoutenburg Noord,Amersfoort,Utrecht,West-Nederland
2318,Stramproy,Weert,Limburg,Zuid-Nederland
2319,Streefkerk,Molenlanden,Zuid-Holland,West-Nederland
2320,Striep,Terschelling,Friesland,Noord-Nederland
2321,Strijbeek,Alphen-Chaam,Noord-Brabant,Zuid-Nederland
2322,Bron: CBS,,,
2323,Meeuwen,Altena,Noord-Brabant,Zuid-Nederland
2324,Megchelen,OudeIJsselstreek,Gelderland,Oost-Nederland
2325,Megen,Oss,Noord-Brabant,Zuid-Nederland
2326,Meijel,PeelenMaas,Limburg,Zuid-Nederland
2327,Melderslo,HorstaandeMaas,Limburg,Zuid-Nederland
2328,Melick,Roerdalen,Limburg,Zuid-Nederland
2329,Meliskerke,Veere,Zeeland,West-Nederland
2330,Melissant,Goeree-Overflakkee,Zuid-Holland,West-Nederland
2331,Menaam,Waadhoeke,Friesland,Noord-Nederland
2332,Mensingeweer,HetHogeland,Groningen,Noord-Nederland
2333,Meppel,Meppel,Drenthe,Noord-Nederland
2334,Meppen,Coevorden,Drenthe,Noord-Nederland
2335,Merkelbeek,Beekdaelen,Limburg,Zuid-Nederland
2336,Merselo,Venray,Limburg,Zuid-Nederland
2337,Meteren,WestBetuwe,Gelderland,Oost-Nederland
2338,Meterik,HorstaandeMaas,Limburg,Zuid-Nederland
2339,Metslawier,Noardeast-Fryslân,Friesland,Noord-Nederland
2340,Mheer,Eijsden-Margraten,Limburg,Zuid-Nederland
2341,Middelaar,MookenMiddelaar,Limburg,Zuid-Nederland
2342,Middelburg,Middelburg,Zeeland,West-Nederland
2343,Middelharnis,Goeree-Overflakkee,Zuid-Holland,West-Nederland
2344,Middelie,Edam-Volendam,Noord-Holland,West-Nederland
2345,Middelstum,Loppersum,Groningen,Noord-Nederland
2346,Middenbeemster,Beemster,Noord-Holland,West-Nederland
2347,Middenmeer,HollandsKroon,Noord-Holland,West-Nederland
2348,Midlaren,Tynaarlo,Drenthe,Noord-Nederland
2349,Midlum,Harlingen,Friesland,Noord-Nederland
2350,Midsland,Terschelling,Friesland,Noord-Nederland
2351,Midwolda,Oldambt,Groningen,Noord-Nederland
2352,Midwolde,Westerkwartier,Groningen,Noord-Nederland
2353,Midwoud,Medemblik,Noord-Holland,West-Nederland
2354,Miedum,Leeuwarden,Friesland,Noord-Nederland
2355,Mierlo,Geldrop-Mierlo,Noord-Brabant,Zuid-Nederland
2356,Mijdrecht,DeRondeVenen,Utrecht,West-Nederland
2357,Mijnsheerenland,HoekscheWaard,Zuid-Holland,West-Nederland
2358,Mildam,Heerenveen,Friesland,Noord-Nederland
2359,Milheeze,Gemert-Bakel,Noord-Brabant,Zuid-Nederland
2360,Mill,MillenSintHubert,Noord-Brabant,Zuid-Nederland
2361,Millingen aan de Rijn,BergenDal,Gelderland,Oost-Nederland
2362,Milsbeek,Gennep,Limburg,Zuid-Nederland
2363,Minnertsga,Waadhoeke,Friesland,Noord-Nederland
2364,Mirns,DeFryskeMarren,Friesland,Noord-Nederland
2365,Moddergat,Noardeast-Fryslân,Friesland,Noord-Nederland
2366,De Moer,LoonopZand,Noord-Brabant,Zuid-Nederland
2367,Moerdijk,Moerdijk,Noord-Brabant,Zuid-Nederland
2368,Moergestel,Oisterwijk,Noord-Brabant,Zuid-Nederland
2369,Moerkapelle,Zuidplas,Zuid-Holland,West-Nederland
2370,Moerstraten,Roosendaal,Noord-Brabant,Zuid-Nederland
2371,Molenaarsgraaf,Molenlanden,Zuid-Holland,West-Nederland
2372,Molenhoek,MookenMiddelaar,Limburg,Zuid-Nederland
2373,Molenschot,GilzeenRijen,Noord-Brabant,Zuid-Nederland
2374,Molkwerum,Súdwest-Fryslân,Friesland,Noord-Nederland
2375,Monnickendam,Waterland,Noord-Holland,West-Nederland
2376,Monster,Westland,Zuid-Holland,West-Nederland
2377,Montfoort,Montfoort,Utrecht,West-Nederland
2378,Montfort,Roerdalen,Limburg,Zuid-Nederland
2379,Mook,MookenMiddelaar,Limburg,Zuid-Nederland
2380,Mookhoek,HoekscheWaard,Zuid-Holland,West-Nederland
2381,Moordrecht,Zuidplas,Zuid-Holland,West-Nederland
2382,Moorveld,Meerssen,Limburg,Zuid-Nederland
2383,Morra,Noardeast-Fryslân,Friesland,Noord-Nederland
2384,De Mortel,Gemert-Bakel,Noord-Brabant,Zuid-Nederland
2385,Muiden,GooiseMeren,Noord-Holland,West-Nederland
2386,Muiderberg,GooiseMeren,Noord-Holland,West-Nederland
2387,Mûnein,Tytsjerksteradiel,Friesland,Noord-Nederland
2388,Munnekeburen,Weststellingwerf,Friesland,Noord-Nederland
2389,Munnekezijl,Noardeast-Fryslân,Friesland,Noord-Nederland
2390,Munstergeleen,Sittard-Geleen,Limburg,Zuid-Nederland
2391,Muntendam,Midden-Groningen,Groningen,Noord-Nederland
2392,Mussel,Stadskanaal,Groningen,Noord-Nederland
2393,Musselkanaal,Stadskanaal,Groningen,Noord-Nederland
2394,Naaldwijk,Westland,Zuid-Holland,West-Nederland
2395,Naarden,GooiseMeren,Noord-Holland,West-Nederland
2396,Nagele,Noordoostpolder,Flevoland,Oost-Nederland
2397,Nederasselt,Heumen,Gelderland,Oost-Nederland
2398,Nederhemert,Zaltbommel,Gelderland,Oost-Nederland
2399,Nederhorst den Berg,Wijdemeren,Noord-Holland,West-Nederland
2400,Nederland,Steenwijkerland,Overijssel,Oost-Nederland
2401,Nederweert,Nederweert,Limburg,Zuid-Nederland
2402,Nederweert-Eind,Nederweert,Limburg,Zuid-Nederland
2403,Neede,Berkelland,Gelderland,Oost-Nederland
2404,Neer,Leudal,Limburg,Zuid-Nederland
2405,Neerijnen,WestBetuwe,Gelderland,Oost-Nederland
2406,Neeritter,Leudal,Limburg,Zuid-Nederland
2407,Neerkant,Deurne,Noord-Brabant,Zuid-Nederland
2408,Neerlangel,Oss,Noord-Brabant,Zuid-Nederland
2409,Neerloon,Oss,Noord-Brabant,Zuid-Nederland
2410,Nes,Heerenveen,Friesland,Noord-Nederland
2411,Nes,Ameland,Friesland,Noord-Nederland
2412,Nes,Noardeast-Fryslân,Friesland,Noord-Nederland
2413,Netersel,Bladel,Noord-Brabant,Zuid-Nederland
2414,Netterden,OudeIJsselstreek,Gelderland,Oost-Nederland
2415,Niawier,Noardeast-Fryslân,Friesland,Noord-Nederland
2416,Nibbixwoud,Medemblik,Noord-Holland,West-Nederland
2417,Niebert,Westerkwartier,Groningen,Noord-Nederland
2418,Niehove,Westerkwartier,Groningen,Noord-Nederland
2419,Niekerk,Westerkwartier,Groningen,Noord-Nederland
2420,Niekerk,HetHogeland,Groningen,Noord-Nederland
2421,Nietap,Noordenveld,Drenthe,Noord-Nederland
2422,Nieuw Annerveen,AaenHunze,Drenthe,Noord-Nederland
2423,Bron: CBS,,,
2424,Bronkhorst,Bronckhorst,Gelderland,Oost-Nederland
2425,Bronneger,Borger-Odoorn,Drenthe,Noord-Nederland
2426,Bronnegerveen,Borger-Odoorn,Drenthe,Noord-Nederland
2427,Brouwershaven,Schouwen-Duiveland,Zeeland,West-Nederland
2428,Bruchem,Zaltbommel,Gelderland,Oost-Nederland
2429,Brucht,Hardenberg,Overijssel,Oost-Nederland
2430,Bruchterveld,Hardenberg,Overijssel,Oost-Nederland
2431,Bruinehaar,Twenterand,Overijssel,Oost-Nederland
2432,Bruinisse,Schouwen-Duiveland,Zeeland,West-Nederland
2433,Brummen,Brummen,Gelderland,Oost-Nederland
2434,Brunssum,Brunssum,Limburg,Zuid-Nederland
2435,Bruntinge,Midden-Drenthe,Drenthe,Noord-Nederland
2436,Buchten,Sittard-Geleen,Limburg,Zuid-Nederland
2437,Budel,Cranendonck,Noord-Brabant,Zuid-Nederland
2438,Budel-Dorplein,Cranendonck,Noord-Brabant,Zuid-Nederland
2439,Budel-Schoot,Cranendonck,Noord-Brabant,Zuid-Nederland
2440,Buggenum,Leudal,Limburg,Zuid-Nederland
2441,Buinen,Borger-Odoorn,Drenthe,Noord-Nederland
2442,Buinerveen,Borger-Odoorn,Drenthe,Noord-Nederland
2443,Buitenkaag,Haarlemmermeer,Noord-Holland,West-Nederland
2444,Buitenpost,Achtkarspelen,Friesland,Noord-Nederland
2445,De Bult,Steenwijkerland,Overijssel,Oost-Nederland
2446,Bunde,Meerssen,Limburg,Zuid-Nederland
2447,Bunne,Tynaarlo,Drenthe,Noord-Nederland
2448,Bunnik,Bunnik,Utrecht,West-Nederland
2449,Bunschoten-Spakenburg,Bunschoten,Utrecht,West-Nederland
2450,Burdaard,Noardeast-Fryslân,Friesland,Noord-Nederland
2451,Buren,Ameland,Friesland,Noord-Nederland
2452,Buren,Buren,Gelderland,Oost-Nederland
2453,Den Burg,Texel,Noord-Holland,West-Nederland
2454,Burgerbrug,Schagen,Noord-Holland,West-Nederland
2455,Burgerveen,Haarlemmermeer,Noord-Holland,West-Nederland
2456,Burgh-Haamstede,Schouwen-Duiveland,Zeeland,West-Nederland
2457,Burgum,Tytsjerksteradiel,Friesland,Noord-Nederland
2458,Burgwerd,Súdwest-Fryslân,Friesland,Noord-Nederland
2459,Burum,Noardeast-Fryslân,Friesland,Noord-Nederland
2460,Bussum,GooiseMeren,Noord-Holland,West-Nederland
2461,Buurmalsen,WestBetuwe,Gelderland,Oost-Nederland
2462,Buurmalsen,Buren,Gelderland,Oost-Nederland
2463,Cadier en Keer,Eijsden-Margraten,Limburg,Zuid-Nederland
2464,Cadzand,Sluis,Zeeland,West-Nederland
2465,Callantsoog,Schagen,Noord-Holland,West-Nederland
2466,Capelle aan den IJssel,CapelleaandenIJssel,Zuid-Holland,West-Nederland
2467,Castelre,Baarle-Nassau,Noord-Brabant,Zuid-Nederland
2468,Castenray,Venray,Limburg,Zuid-Nederland
2469,Casteren,Bladel,Noord-Brabant,Zuid-Nederland
2470,Castricum,Castricum,Noord-Holland,West-Nederland
2471,Chaam,Alphen-Chaam,Noord-Brabant,Zuid-Nederland
2472,Clinge,Hulst,Zeeland,West-Nederland
2473,De Cocksdorp,Texel,Noord-Holland,West-Nederland
2474,Coevorden,Coevorden,Drenthe,Noord-Nederland
2475,Colijnsplaat,Noord-Beveland,Zeeland,West-Nederland
2476,Collendoorn,Hardenberg,Overijssel,Oost-Nederland
2477,Colmschate,Deventer,Overijssel,Oost-Nederland
2478,Cornwerd,Súdwest-Fryslân,Friesland,Noord-Nederland
2479,Cothen,WijkbijDuurstede,Utrecht,West-Nederland
2480,Creil,Noordoostpolder,Flevoland,Oost-Nederland
2481,Cromvoirt,Vught,Noord-Brabant,Zuid-Nederland
2482,Cruquius,Haarlemmermeer,Noord-Holland,West-Nederland
2483,Cuijk,Cuijk,Noord-Brabant,Zuid-Nederland
2484,Culemborg,Culemborg,Gelderland,Oost-Nederland
2485,Daarle,Hellendoorn,Overijssel,Oost-Nederland
2486,Daarlerveen,Hellendoorn,Overijssel,Oost-Nederland
2487,Dalem,Gorinchem,Zuid-Holland,West-Nederland
2488,Dalen,Coevorden,Drenthe,Noord-Nederland
2489,Dalerpeel,Coevorden,Drenthe,Noord-Nederland
2490,Dalerveen,Coevorden,Drenthe,Noord-Nederland
2491,Dalfsen,Dalfsen,Overijssel,Oost-Nederland
2492,Dalmsholte,Ommen,Overijssel,Oost-Nederland
2493,Damwâld,Dantumadiel,Friesland,Noord-Nederland
2494,Darp,Westerveld,Drenthe,Noord-Nederland
2495,Dearsum,Súdwest-Fryslân,Friesland,Noord-Nederland
2496,Dedemsvaart,Hardenberg,Overijssel,Oost-Nederland
2497,Dedgum,Súdwest-Fryslân,Friesland,Noord-Nederland
2498,Deelen,Ede,Gelderland,Oost-Nederland
2499,Deest,Druten,Gelderland,Oost-Nederland
2500,Deil,WestBetuwe,Gelderland,Oost-Nederland
2501,Deinum,Waadhoeke,Friesland,Noord-Nederland
2502,Delden,HofvanTwente,Overijssel,Oost-Nederland
2503,Delfgauw,Pijnacker-Nootdorp,Zuid-Holland,West-Nederland
2504,Delfstrahuizen,DeFryskeMarren,Friesland,Noord-Nederland
2505,Delft,Delft,Zuid-Holland,West-Nederland
2506,Delfzijl,Delfzijl,Groningen,Noord-Nederland
2507,Delwijnen,Zaltbommel,Gelderland,Oost-Nederland
2508,Demen,Oss,Noord-Brabant,Zuid-Nederland
2509,Denekamp,Dinkelland,Overijssel,Oost-Nederland
2510,Deurne,Deurne,Noord-Brabant,Zuid-Nederland
2511,Deurningen,Dinkelland,Overijssel,Oost-Nederland
2512,Deurningen,Oldenzaal,Overijssel,Oost-Nederland
2513,Deursen-Dennenburg,Oss,Noord-Brabant,Zuid-Nederland
2514,Deurze,AaenHunze,Drenthe,Noord-Nederland
2515,Deventer,Deventer,Overijssel,Oost-Nederland
2516,Didam,Montferland,Gelderland,Oost-Nederland
2517,Dieden,Oss,Noord-Brabant,Zuid-Nederland
2518,Diemen,Diemen,Noord-Holland,West-Nederland
2519,Diepenheim,HofvanTwente,Overijssel,Oost-Nederland
2520,Diepenveen,Deventer,Overijssel,Oost-Nederland
2521,Dieren,Rheden,Gelderland,Oost-Nederland
2522,Diessen,Hilvarenbeek,Noord-Brabant,Zuid-Nederland
2523,Diever,Westerveld,Drenthe,Noord-Nederland
2524,Bron: CBS,,,
